input_value,input_matched_alias,entity_id,pathway_id,pathway_description,pathway_source_system,pathway_data_source,pathway_etl_package_id,entity_relationships_by_group,total_entity_relationships,other_aliases,status,note
R-HSA-5619053,R-HSA-5619053,126592,R-HSA-5619053,Defective SLC22A5 causes systemic primary carnitine deficiency (CDSP),Reactome,reactome,,,,['Defective SLC22A5 causes systemic primary carnitine deficiency (CDSP)'],ok,
R-HSA-5619077,R-HSA-5619077,126593,R-HSA-5619077,Defective SLC24A1 causes congenital stationary night blindness 1D (CSNB1D),Reactome,reactome,,,,['Defective SLC24A1 causes congenital stationary night blindness 1D (CSNB1D)'],ok,
R-HSA-5619055,R-HSA-5619055,126594,R-HSA-5619055,Defective SLC24A4 causes hypomineralized amelogenesis imperfecta (AI),Reactome,reactome,,,,['Defective SLC24A4 causes hypomineralized amelogenesis imperfecta (AI)'],ok,
R-HSA-5619036,R-HSA-5619036,126595,R-HSA-5619036,Defective SLC24A5 causes oculocutaneous albinism 6 (OCA6),Reactome,reactome,,,,['Defective SLC24A5 causes oculocutaneous albinism 6 (OCA6)'],ok,
R-HSA-3560792,R-HSA-3560792,126596,R-HSA-3560792,Defective SLC26A2 causes chondrodysplasias,Reactome,reactome,,,,['Defective SLC26A2 causes chondrodysplasias'],ok,
R-HSA-5619085,R-HSA-5619085,126597,R-HSA-5619085,Defective SLC26A3 causes congenital secretory chloride diarrhea 1 (DIAR1),Reactome,reactome,,,,['Defective SLC26A3 causes congenital secretory chloride diarrhea 1 (DIAR1)'],ok,
R-HSA-5619046,R-HSA-5619046,126598,R-HSA-5619046,Defective SLC26A4 causes Pendred syndrome (PDS),Reactome,reactome,,,,['Defective SLC26A4 causes Pendred syndrome (PDS)'],ok,
R-HSA-5619108,R-HSA-5619108,126599,R-HSA-5619108,Defective SLC27A4 causes ichthyosis prematurity syndrome (IPS),Reactome,reactome,,,,['Defective SLC27A4 causes ichthyosis prematurity syndrome (IPS)'],ok,
R-HSA-5619063,R-HSA-5619063,126600,R-HSA-5619063,Defective SLC29A3 causes histiocytosis-lymphadenopathy plus syndrome (HLAS),Reactome,reactome,,,,['Defective SLC29A3 causes histiocytosis-lymphadenopathy plus syndrome (HLAS)'],ok,
R-HSA-5619043,R-HSA-5619043,126601,R-HSA-5619043,Defective SLC2A1 causes GLUT1 deficiency syndrome 1 (GLUT1DS1),Reactome,reactome,,,,['Defective SLC2A1 causes GLUT1 deficiency syndrome 1 (GLUT1DS1)'],ok,
R-HSA-5619068,R-HSA-5619068,126602,R-HSA-5619068,Defective SLC2A10 causes arterial tortuosity syndrome (ATS),Reactome,reactome,,,,['Defective SLC2A10 causes arterial tortuosity syndrome (ATS)'],ok,
R-HSA-5619098,R-HSA-5619098,126603,R-HSA-5619098,Defective SLC2A2 causes Fanconi-Bickel syndrome (FBS),Reactome,reactome,,,,['Defective SLC2A2 causes Fanconi-Bickel syndrome (FBS)'],ok,
R-HSA-5619047,R-HSA-5619047,126604,R-HSA-5619047,Defective SLC2A9 causes hypouricemia renal 2 (RHUC2),Reactome,reactome,,,,['Defective SLC2A9 causes hypouricemia renal 2 (RHUC2)'],ok,
R-HSA-5619061,R-HSA-5619061,126605,R-HSA-5619061,Defective SLC33A1 causes spastic paraplegia 42 (SPG42),Reactome,reactome,,,,['Defective SLC33A1 causes spastic paraplegia 42 (SPG42)'],ok,
R-HSA-5619040,R-HSA-5619040,126606,R-HSA-5619040,Defective SLC34A1 causes hypophosphatemic nephrolithiasis/osteoporosis 1 (NPHLOP1),Reactome,reactome,,,,['Defective SLC34A1 causes hypophosphatemic nephrolithiasis/osteoporosis 1 (NPHLOP1)'],ok,
R-HSA-5687583,R-HSA-5687583,126607,R-HSA-5687583,Defective SLC34A2 causes PALM,Reactome,reactome,,,,['Defective SLC34A2 causes PALM'],ok,
R-HSA-5619045,R-HSA-5619045,126608,R-HSA-5619045,Defective SLC34A2 causes pulmonary alveolar microlithiasis (PALM),Reactome,reactome,,,,['Defective SLC34A2 causes pulmonary alveolar microlithiasis (PALM)'],ok,
R-HSA-5619097,R-HSA-5619097,126609,R-HSA-5619097,Defective SLC34A3 causes Hereditary hypophosphatemic rickets with hypercalciuria (HHRH),Reactome,reactome,,,,['Defective SLC34A3 causes Hereditary hypophosphatemic rickets with hypercalciuria (HHRH)'],ok,
R-HSA-5619037,R-HSA-5619037,126610,R-HSA-5619037,Defective SLC35A1 causes congenital disorder of glycosylation 2F (CDG2F),Reactome,reactome,,,,['Defective SLC35A1 causes congenital disorder of glycosylation 2F (CDG2F)'],ok,
R-HSA-5663020,R-HSA-5663020,126611,R-HSA-5663020,Defective SLC35A1 causes congenital disorder of glycosylation 2F (CDG2F),Reactome,reactome,,,,['Defective SLC35A1 causes congenital disorder of glycosylation 2F (CDG2F)'],ok,
