input_value,input_matched_alias,entity_id,pathway_id,pathway_description,pathway_source_system,pathway_data_source,pathway_etl_package_id,entity_relationships_by_group,total_entity_relationships,other_aliases,status,note
R-HSA-9827857,R-HSA-9827857,128383,R-HSA-9827857,Specification of primordial germ cells,Reactome,reactome,,,,['Specification of primordial germ cells'],ok,
R-HSA-9834899,R-HSA-9834899,128384,R-HSA-9834899,Specification of the neural plate border,Reactome,reactome,,,,['Specification of the neural plate border'],ok,
R-HSA-1300642,R-HSA-1300642,128385,R-HSA-1300642,Sperm Motility And Taxes,Reactome,reactome,,,,['Sperm Motility And Taxes'],ok,
R-HSA-9845614,R-HSA-9845614,128386,R-HSA-9845614,Sphingolipid catabolism,Reactome,reactome,,,,['Sphingolipid catabolism'],ok,
R-HSA-1660661,R-HSA-1660661,128387,R-HSA-1660661,Sphingolipid de novo biosynthesis,Reactome,reactome,,,,['Sphingolipid de novo biosynthesis'],ok,
R-HSA-428157,R-HSA-428157,128388,R-HSA-428157,Sphingolipid metabolism,Reactome,reactome,,,,['Sphingolipid metabolism'],ok,
R-HSA-1295596,R-HSA-1295596,128389,R-HSA-1295596,Spry regulation of FGF signaling,Reactome,reactome,,,,['Spry regulation of FGF signaling'],ok,
R-HSA-69541,R-HSA-69541,128390,R-HSA-69541,Stabilization of p53,Reactome,reactome,,,,['Stabilization of p53'],ok,
R-HSA-211994,R-HSA-211994,128391,R-HSA-211994,Sterols are 12-hydroxylated by CYP8B1,Reactome,reactome,,,,['Sterols are 12-hydroxylated by CYP8B1'],ok,
R-HSA-211736,R-HSA-211736,128392,R-HSA-211736,Stimulation of the cell death response by PAK-2p34,Reactome,reactome,,,,['Stimulation of the cell death response by PAK-2p34'],ok,
R-HSA-2672351,R-HSA-2672351,128393,R-HSA-2672351,Stimuli-sensing channels,Reactome,reactome,,,,['Stimuli-sensing channels'],ok,
R-HSA-9913635,R-HSA-9913635,128394,R-HSA-9913635,Strand-asynchronous mitochondrial DNA replication,Reactome,reactome,,,,['Strand-asynchronous mitochondrial DNA replication'],ok,
R-HSA-390522,R-HSA-390522,128395,R-HSA-390522,Striated Muscle Contraction,Reactome,reactome,,,,['Striated Muscle Contraction'],ok,
R-HSA-1614517,R-HSA-1614517,128396,R-HSA-1614517,Sulfide oxidation to sulfate,Reactome,reactome,,,,['Sulfide oxidation to sulfate'],ok,
R-HSA-1614635,R-HSA-1614635,128397,R-HSA-1614635,Sulfur amino acid metabolism,Reactome,reactome,,,,['Sulfur amino acid metabolism'],ok,
R-HSA-9669934,R-HSA-9669934,128398,R-HSA-9669934,Sunitinib-resistant KIT mutants,Reactome,reactome,,,,['Sunitinib-resistant KIT mutants'],ok,
R-HSA-9674401,R-HSA-9674401,128399,R-HSA-9674401,Sunitinib-resistant PDGFR mutants,Reactome,reactome,,,,['Sunitinib-resistant PDGFR mutants'],ok,
R-HSA-9635465,R-HSA-9635465,128400,R-HSA-9635465,Suppression of apoptosis,Reactome,reactome,,,,['Suppression of apoptosis'],ok,
R-HSA-9636569,R-HSA-9636569,128401,R-HSA-9636569,Suppression of autophagy,Reactome,reactome,,,,['Suppression of autophagy'],ok,
R-HSA-9637687,R-HSA-9637687,128402,R-HSA-9637687,Suppression of phagosomal maturation,Reactome,reactome,,,,['Suppression of phagosomal maturation'],ok,
R-HSA-5683826,R-HSA-5683826,128403,R-HSA-5683826,Surfactant metabolism,Reactome,reactome,,,,['Surfactant metabolism'],ok,
R-HSA-69052,R-HSA-69052,128404,R-HSA-69052,Switching of origins to a post-replicative state,Reactome,reactome,,,,['Switching of origins to a post-replicative state'],ok,
R-HSA-8849932,R-HSA-8849932,128405,R-HSA-8849932,Synaptic adhesion-like molecules,Reactome,reactome,,,,['Synaptic adhesion-like molecules'],ok,
R-HSA-3000170,R-HSA-3000170,128406,R-HSA-3000170,Syndecan interactions,Reactome,reactome,,,,['Syndecan interactions'],ok,
R-HSA-174495,R-HSA-174495,128407,R-HSA-174495,"Synthesis And Processing Of GAG, GAGPOL Polyproteins",Reactome,reactome,,,,"['Synthesis And Processing Of GAG, GAGPOL Polyproteins']",ok,
R-HSA-171286,R-HSA-171286,128408,R-HSA-171286,Synthesis and processing of ENV and VPU,Reactome,reactome,,,,['Synthesis and processing of ENV and VPU'],ok,
R-HSA-2142816,R-HSA-2142816,128409,R-HSA-2142816,Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE),Reactome,reactome,,,,['Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE)'],ok,
R-HSA-2142712,R-HSA-2142712,128410,R-HSA-2142712,Synthesis of 12-eicosatetraenoic acid derivatives,Reactome,reactome,,,,['Synthesis of 12-eicosatetraenoic acid derivatives'],ok,
R-HSA-2142770,R-HSA-2142770,128411,R-HSA-2142770,Synthesis of 15-eicosatetraenoic acid derivatives,Reactome,reactome,,,,['Synthesis of 15-eicosatetraenoic acid derivatives'],ok,
R-HSA-2142688,R-HSA-2142688,128412,R-HSA-2142688,Synthesis of 5-eicosatetraenoic acids,Reactome,reactome,,,,['Synthesis of 5-eicosatetraenoic acids'],ok,
R-HSA-1483171,R-HSA-1483171,128413,R-HSA-1483171,Synthesis of BMP,Reactome,reactome,,,,['Synthesis of BMP'],ok,
R-HSA-1483076,R-HSA-1483076,128414,R-HSA-1483076,Synthesis of CL,Reactome,reactome,,,,['Synthesis of CL'],ok,
R-HSA-69239,R-HSA-69239,128415,R-HSA-69239,Synthesis of DNA,Reactome,reactome,,,,['Synthesis of DNA'],ok,
R-HSA-446205,R-HSA-446205,128416,R-HSA-446205,Synthesis of GDP-mannose,Reactome,reactome,,,,['Synthesis of GDP-mannose'],ok,
R-HSA-2142696,R-HSA-2142696,128417,R-HSA-2142696,Synthesis of Hepoxilins (HX) and Trioxilins (TrX),Reactome,reactome,,,,['Synthesis of Hepoxilins (HX) and Trioxilins (TrX)'],ok,
R-HSA-1855183,R-HSA-1855183,128418,R-HSA-1855183,"Synthesis of IP2, IP, and Ins in the cytosol",Reactome,reactome,,,,"['Synthesis of IP2, IP, and Ins in the cytosol']",ok,
R-HSA-1855204,R-HSA-1855204,128419,R-HSA-1855204,Synthesis of IP3 and IP4 in the cytosol,Reactome,reactome,,,,['Synthesis of IP3 and IP4 in the cytosol'],ok,
R-HSA-1855231,R-HSA-1855231,128420,R-HSA-1855231,Synthesis of IPs in the ER lumen,Reactome,reactome,,,,['Synthesis of IPs in the ER lumen'],ok,
R-HSA-1855191,R-HSA-1855191,128421,R-HSA-1855191,Synthesis of IPs in the nucleus,Reactome,reactome,,,,['Synthesis of IPs in the nucleus'],ok,
R-HSA-77111,R-HSA-77111,128422,R-HSA-77111,Synthesis of Ketone Bodies,Reactome,reactome,,,,['Synthesis of Ketone Bodies'],ok,
R-HSA-2142691,R-HSA-2142691,128423,R-HSA-2142691,Synthesis of Leukotrienes (LT) and Eoxins (EX),Reactome,reactome,,,,['Synthesis of Leukotrienes (LT) and Eoxins (EX)'],ok,
R-HSA-1483166,R-HSA-1483166,128424,R-HSA-1483166,Synthesis of PA,Reactome,reactome,,,,['Synthesis of PA'],ok,
R-HSA-1483191,R-HSA-1483191,128425,R-HSA-1483191,Synthesis of PC,Reactome,reactome,,,,['Synthesis of PC'],ok,
R-HSA-1483213,R-HSA-1483213,128426,R-HSA-1483213,Synthesis of PE,Reactome,reactome,,,,['Synthesis of PE'],ok,
R-HSA-1483148,R-HSA-1483148,128427,R-HSA-1483148,Synthesis of PG,Reactome,reactome,,,,['Synthesis of PG'],ok,
R-HSA-1483226,R-HSA-1483226,128428,R-HSA-1483226,Synthesis of PI,Reactome,reactome,,,,['Synthesis of PI'],ok,
R-HSA-1483248,R-HSA-1483248,128429,R-HSA-1483248,Synthesis of PIPs at the ER membrane,Reactome,reactome,,,,['Synthesis of PIPs at the ER membrane'],ok,
R-HSA-1660514,R-HSA-1660514,128430,R-HSA-1660514,Synthesis of PIPs at the Golgi membrane,Reactome,reactome,,,,['Synthesis of PIPs at the Golgi membrane'],ok,
R-HSA-1660516,R-HSA-1660516,128431,R-HSA-1660516,Synthesis of PIPs at the early endosome membrane,Reactome,reactome,,,,['Synthesis of PIPs at the early endosome membrane'],ok,
R-HSA-1660517,R-HSA-1660517,128432,R-HSA-1660517,Synthesis of PIPs at the late endosome membrane,Reactome,reactome,,,,['Synthesis of PIPs at the late endosome membrane'],ok,
R-HSA-1660499,R-HSA-1660499,128433,R-HSA-1660499,Synthesis of PIPs at the plasma membrane,Reactome,reactome,,,,['Synthesis of PIPs at the plasma membrane'],ok,
R-HSA-8847453,R-HSA-8847453,128434,R-HSA-8847453,Synthesis of PIPs in the nucleus,Reactome,reactome,,,,['Synthesis of PIPs in the nucleus'],ok,
R-HSA-1483101,R-HSA-1483101,128435,R-HSA-1483101,Synthesis of PS,Reactome,reactome,,,,['Synthesis of PS'],ok,
R-HSA-2162123,R-HSA-2162123,128436,R-HSA-2162123,Synthesis of Prostaglandins (PG) and Thromboxanes (TX),Reactome,reactome,,,,['Synthesis of Prostaglandins (PG) and Thromboxanes (TX)'],ok,
R-HSA-446210,R-HSA-446210,128437,R-HSA-446210,Synthesis of UDP-N-acetyl-glucosamine,Reactome,reactome,,,,['Synthesis of UDP-N-acetyl-glucosamine'],ok,
R-HSA-8866652,R-HSA-8866652,128438,R-HSA-8866652,Synthesis of active ubiquitin: roles of E1 and E2 enzymes,Reactome,reactome,,,,['Synthesis of active ubiquitin: roles of E1 and E2 enzymes'],ok,
R-HSA-192105,R-HSA-192105,128439,R-HSA-192105,Synthesis of bile acids and bile salts,Reactome,reactome,,,,['Synthesis of bile acids and bile salts'],ok,
R-HSA-193775,R-HSA-193775,128440,R-HSA-193775,Synthesis of bile acids and bile salts via 24-hydroxycholesterol,Reactome,reactome,,,,['Synthesis of bile acids and bile salts via 24-hydroxycholesterol'],ok,
R-HSA-193807,R-HSA-193807,128441,R-HSA-193807,Synthesis of bile acids and bile salts via 27-hydroxycholesterol,Reactome,reactome,,,,['Synthesis of bile acids and bile salts via 27-hydroxycholesterol'],ok,
R-HSA-193368,R-HSA-193368,128442,R-HSA-193368,Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol,Reactome,reactome,,,,['Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol'],ok,
R-HSA-5358493,R-HSA-5358493,128443,R-HSA-5358493,Synthesis of diphthamide-EEF2,Reactome,reactome,,,,['Synthesis of diphthamide-EEF2'],ok,
R-HSA-446199,R-HSA-446199,128444,R-HSA-446199,Synthesis of dolichyl-phosphate,Reactome,reactome,,,,['Synthesis of dolichyl-phosphate'],ok,
R-HSA-162699,R-HSA-162699,128445,R-HSA-162699,Synthesis of dolichyl-phosphate mannose,Reactome,reactome,,,,['Synthesis of dolichyl-phosphate mannose'],ok,
R-HSA-480985,R-HSA-480985,128446,R-HSA-480985,Synthesis of dolichyl-phosphate-glucose,Reactome,reactome,,,,['Synthesis of dolichyl-phosphate-glucose'],ok,
R-HSA-2142670,R-HSA-2142670,128447,R-HSA-2142670,Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET),Reactome,reactome,,,,['Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET)'],ok,
R-HSA-162710,R-HSA-162710,128448,R-HSA-162710,Synthesis of glycosylphosphatidylinositol (GPI),Reactome,reactome,,,,['Synthesis of glycosylphosphatidylinositol (GPI)'],ok,
R-HSA-1855167,R-HSA-1855167,128449,R-HSA-1855167,Synthesis of pyrophosphates in the cytosol,Reactome,reactome,,,,['Synthesis of pyrophosphates in the cytosol'],ok,
R-HSA-446219,R-HSA-446219,128450,R-HSA-446219,Synthesis of substrates in N-glycan biosythesis,Reactome,reactome,,,,['Synthesis of substrates in N-glycan biosythesis'],ok,
R-HSA-75876,R-HSA-75876,128451,R-HSA-75876,Synthesis of very long-chain fatty acyl-CoAs,Reactome,reactome,,,,['Synthesis of very long-chain fatty acyl-CoAs'],ok,
R-HSA-6782861,R-HSA-6782861,128452,R-HSA-6782861,Synthesis of wybutosine at G37 of tRNA(Phe),Reactome,reactome,,,,['Synthesis of wybutosine at G37 of tRNA(Phe)'],ok,
R-HSA-422085,R-HSA-422085,128453,R-HSA-422085,"Synthesis, secretion, and deacylation of Ghrelin",Reactome,reactome,,,,"['Synthesis, secretion, and deacylation of Ghrelin']",ok,
R-HSA-381771,R-HSA-381771,128454,R-HSA-381771,"Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)",Reactome,reactome,,,,"['Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)']",ok,
R-HSA-400511,R-HSA-400511,128455,R-HSA-400511,"Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)",Reactome,reactome,,,,"['Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)']",ok,
R-HSA-445989,R-HSA-445989,128456,R-HSA-445989,TAK1-dependent IKK and NF-kappa-B activation  ,Reactome,reactome,,,,['TAK1-dependent IKK and NF-kappa-B activation'],ok,
R-HSA-6791462,R-HSA-6791462,128457,R-HSA-6791462,"TALDO1 deficiency: failed conversion of  Fru(6)P, E4P to SH7P, GA3P",Reactome,reactome,,,,"['TALDO1 deficiency: failed conversion of  Fru(6)P, E4P to SH7P, GA3P']",ok,
R-HSA-6791055,R-HSA-6791055,128458,R-HSA-6791055,"TALDO1 deficiency: failed conversion of SH7P, GA3P to Fru(6)P, E4P",Reactome,reactome,,,,"['TALDO1 deficiency: failed conversion of SH7P, GA3P to Fru(6)P, E4P']",ok,
R-HSA-8854214,R-HSA-8854214,128459,R-HSA-8854214,TBC/RABGAPs,Reactome,reactome,,,,['TBC/RABGAPs'],ok,
R-HSA-201681,R-HSA-201681,128460,R-HSA-201681,TCF dependent signaling in response to WNT,Reactome,reactome,,,,['TCF dependent signaling in response to WNT'],ok,
R-HSA-202403,R-HSA-202403,128461,R-HSA-202403,TCR signaling,Reactome,reactome,,,,['TCR signaling'],ok,
R-HSA-5221030,R-HSA-5221030,128462,R-HSA-5221030,"TET1,2,3 and TDG demethylate DNA",Reactome,reactome,,,,"['TET1,2,3 and TDG demethylate DNA']",ok,
R-HSA-8866911,R-HSA-8866911,128463,R-HSA-8866911,TFAP2 (AP-2) family regulates transcription of cell cycle factors,Reactome,reactome,,,,['TFAP2 (AP-2) family regulates transcription of cell cycle factors'],ok,
R-HSA-8866910,R-HSA-8866910,128464,R-HSA-8866910,TFAP2 (AP-2) family regulates transcription of growth factors and their receptors,Reactome,reactome,,,,['TFAP2 (AP-2) family regulates transcription of growth factors and their receptors'],ok,
R-HSA-8866906,R-HSA-8866906,128465,R-HSA-8866906,TFAP2 (AP-2) family regulates transcription of other transcription factors,Reactome,reactome,,,,['TFAP2 (AP-2) family regulates transcription of other transcription factors'],ok,
R-HSA-8869496,R-HSA-8869496,128466,R-HSA-8869496,TFAP2A acts as a transcriptional repressor during retinoic acid induced cell differentiation,Reactome,reactome,,,,['TFAP2A acts as a transcriptional repressor during retinoic acid induced cell differentiation'],ok,
R-HSA-2173789,R-HSA-2173789,128467,R-HSA-2173789,TGF-beta receptor signaling activates SMADs,Reactome,reactome,,,,['TGF-beta receptor signaling activates SMADs'],ok,
R-HSA-2173791,R-HSA-2173791,128468,R-HSA-2173791,TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition),Reactome,reactome,,,,['TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)'],ok,
R-HSA-3656532,R-HSA-3656532,128469,R-HSA-3656532,TGFBR1 KD Mutants in Cancer,Reactome,reactome,,,,['TGFBR1 KD Mutants in Cancer'],ok,
R-HSA-3656535,R-HSA-3656535,128470,R-HSA-3656535,TGFBR1 LBD Mutants in Cancer,Reactome,reactome,,,,['TGFBR1 LBD Mutants in Cancer'],ok,
R-HSA-3645790,R-HSA-3645790,128471,R-HSA-3645790,TGFBR2 Kinase Domain Mutants in Cancer,Reactome,reactome,,,,['TGFBR2 Kinase Domain Mutants in Cancer'],ok,
R-HSA-3642279,R-HSA-3642279,128472,R-HSA-3642279,TGFBR2 MSI Frameshift Mutants in Cancer,Reactome,reactome,,,,['TGFBR2 MSI Frameshift Mutants in Cancer'],ok,
R-HSA-9839383,R-HSA-9839383,128473,R-HSA-9839383,TGFBR3 PTM regulation,Reactome,reactome,,,,['TGFBR3 PTM regulation'],ok,
R-HSA-9839394,R-HSA-9839394,128474,R-HSA-9839394,TGFBR3 expression,Reactome,reactome,,,,['TGFBR3 expression'],ok,
R-HSA-9839397,R-HSA-9839397,128475,R-HSA-9839397,TGFBR3 regulates FGF2 signaling,Reactome,reactome,,,,['TGFBR3 regulates FGF2 signaling'],ok,
R-HSA-9839389,R-HSA-9839389,128476,R-HSA-9839389,TGFBR3 regulates TGF-beta signaling,Reactome,reactome,,,,['TGFBR3 regulates TGF-beta signaling'],ok,
R-HSA-9839406,R-HSA-9839406,128477,R-HSA-9839406,TGFBR3 regulates activin signaling,Reactome,reactome,,,,['TGFBR3 regulates activin signaling'],ok,
R-HSA-5602566,R-HSA-5602566,128478,R-HSA-5602566,TICAM1 deficiency - HSE,Reactome,reactome,,,,['TICAM1 deficiency - HSE'],ok,
R-HSA-168927,R-HSA-168927,128479,R-HSA-168927,"TICAM1, RIP1-mediated IKK complex recruitment",Reactome,reactome,,,,"['TICAM1, RIP1-mediated IKK complex recruitment']",ok,
R-HSA-9014325,R-HSA-9014325,128480,R-HSA-9014325,"TICAM1,TRAF6-dependent induction of TAK1 complex",Reactome,reactome,,,,"['TICAM1,TRAF6-dependent induction of TAK1 complex']",ok,
R-HSA-9013973,R-HSA-9013973,128481,R-HSA-9013973,TICAM1-dependent activation of IRF3/IRF7,Reactome,reactome,,,,['TICAM1-dependent activation of IRF3/IRF7'],ok,
R-HSA-5602410,R-HSA-5602410,128482,R-HSA-5602410,TLR3 deficiency - HSE,Reactome,reactome,,,,['TLR3 deficiency - HSE'],ok,
R-HSA-9013957,R-HSA-9013957,128483,R-HSA-9013957,TLR3-mediated TICAM1-dependent programmed cell death,Reactome,reactome,,,,['TLR3-mediated TICAM1-dependent programmed cell death'],ok,
R-HSA-5676594,R-HSA-5676594,128484,R-HSA-5676594,TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway,Reactome,reactome,,,,['TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway'],ok,
R-HSA-75893,R-HSA-75893,128485,R-HSA-75893,TNF signaling,Reactome,reactome,,,,['TNF signaling'],ok,
R-HSA-5357956,R-HSA-5357956,128486,R-HSA-5357956,TNFR1-induced NF-kappa-B signaling pathway,Reactome,reactome,,,,['TNFR1-induced NF-kappa-B signaling pathway'],ok,
R-HSA-5357786,R-HSA-5357786,128487,R-HSA-5357786,TNFR1-induced proapoptotic signaling,Reactome,reactome,,,,['TNFR1-induced proapoptotic signaling'],ok,
R-HSA-5626978,R-HSA-5626978,128488,R-HSA-5626978,TNFR1-mediated ceramide production,Reactome,reactome,,,,['TNFR1-mediated ceramide production'],ok,
R-HSA-5668541,R-HSA-5668541,128489,R-HSA-5668541,TNFR2 non-canonical NF-kB pathway,Reactome,reactome,,,,['TNFR2 non-canonical NF-kB pathway'],ok,
R-HSA-5669034,R-HSA-5669034,128490,R-HSA-5669034,TNFs bind their physiological receptors,Reactome,reactome,,,,['TNFs bind their physiological receptors'],ok,
R-HSA-5628897,R-HSA-5628897,128491,R-HSA-5628897,TP53 Regulates Metabolic Genes,Reactome,reactome,,,,['TP53 Regulates Metabolic Genes'],ok,
R-HSA-6803207,R-HSA-6803207,128492,R-HSA-6803207,TP53 Regulates Transcription of Caspase Activators and Caspases,Reactome,reactome,,,,['TP53 Regulates Transcription of Caspase Activators and Caspases'],ok,
R-HSA-6791312,R-HSA-6791312,128493,R-HSA-6791312,TP53 Regulates Transcription of Cell Cycle Genes,Reactome,reactome,,,,['TP53 Regulates Transcription of Cell Cycle Genes'],ok,
R-HSA-5633008,R-HSA-5633008,128494,R-HSA-5633008,TP53 Regulates Transcription of Cell Death Genes,Reactome,reactome,,,,['TP53 Regulates Transcription of Cell Death Genes'],ok,
R-HSA-6796648,R-HSA-6796648,128495,R-HSA-6796648,TP53 Regulates Transcription of DNA Repair Genes,Reactome,reactome,,,,['TP53 Regulates Transcription of DNA Repair Genes'],ok,
R-HSA-6803211,R-HSA-6803211,128496,R-HSA-6803211,TP53 Regulates Transcription of Death Receptors and Ligands,Reactome,reactome,,,,['TP53 Regulates Transcription of Death Receptors and Ligands'],ok,
R-HSA-6803204,R-HSA-6803204,128497,R-HSA-6803204,TP53 Regulates Transcription of Genes Involved in Cytochrome C Release,Reactome,reactome,,,,['TP53 Regulates Transcription of Genes Involved in Cytochrome C Release'],ok,
R-HSA-6804116,R-HSA-6804116,128498,R-HSA-6804116,TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest,Reactome,reactome,,,,['TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest'],ok,
R-HSA-6804114,R-HSA-6804114,128499,R-HSA-6804114,TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest,Reactome,reactome,,,,['TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest'],ok,
R-HSA-6804115,R-HSA-6804115,128500,R-HSA-6804115,TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain,Reactome,reactome,,,,['TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain'],ok,
R-HSA-6803205,R-HSA-6803205,128501,R-HSA-6803205,TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain,Reactome,reactome,,,,['TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain'],ok,
R-HSA-5602571,R-HSA-5602571,128502,R-HSA-5602571,TRAF3 deficiency - HSE,Reactome,reactome,,,,['TRAF3 deficiency - HSE'],ok,
R-HSA-918233,R-HSA-918233,128503,R-HSA-918233,TRAF3-dependent IRF activation pathway,Reactome,reactome,,,,['TRAF3-dependent IRF activation pathway'],ok,
R-HSA-933541,R-HSA-933541,128504,R-HSA-933541,TRAF6 mediated IRF7 activation,Reactome,reactome,,,,['TRAF6 mediated IRF7 activation'],ok,
R-HSA-975110,R-HSA-975110,128505,R-HSA-975110,TRAF6 mediated IRF7 activation in TLR7/8 or 9 signaling,Reactome,reactome,,,,['TRAF6 mediated IRF7 activation in TLR7/8 or 9 signaling'],ok,
R-HSA-933542,R-HSA-933542,128506,R-HSA-933542,TRAF6 mediated NF-kB activation,Reactome,reactome,,,,['TRAF6 mediated NF-kB activation'],ok,
R-HSA-975138,R-HSA-975138,128507,R-HSA-975138,TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation,Reactome,reactome,,,,['TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation'],ok,
R-HSA-937072,R-HSA-937072,128508,R-HSA-937072,TRAF6-mediated induction of TAK1 complex within TLR4 complex,Reactome,reactome,,,,['TRAF6-mediated induction of TAK1 complex within TLR4 complex'],ok,
R-HSA-75158,R-HSA-75158,128509,R-HSA-75158,TRAIL  signaling,Reactome,reactome,,,,['TRAIL  signaling'],ok,
R-HSA-937061,R-HSA-937061,128510,R-HSA-937061,TRIF (TICAM1)-mediated TLR4 signaling ,Reactome,reactome,,,,['TRIF (TICAM1)-mediated TLR4 signaling'],ok,
R-HSA-2562578,R-HSA-2562578,128511,R-HSA-2562578,TRIF-mediated programmed cell death,Reactome,reactome,,,,['TRIF-mediated programmed cell death'],ok,
R-HSA-187042,R-HSA-187042,128512,R-HSA-187042,TRKA activation by NGF,Reactome,reactome,,,,['TRKA activation by NGF'],ok,
R-HSA-3295583,R-HSA-3295583,128513,R-HSA-3295583,TRP channels,Reactome,reactome,,,,['TRP channels'],ok,
R-HSA-1299503,R-HSA-1299503,128514,R-HSA-1299503,TWIK related potassium channel (TREK),Reactome,reactome,,,,['TWIK related potassium channel (TREK)'],ok,
R-HSA-1299361,R-HSA-1299361,128515,R-HSA-1299361,TWIK-related alkaline pH activated K+ channel (TALK),Reactome,reactome,,,,['TWIK-related alkaline pH activated K+ channel (TALK)'],ok,
R-HSA-1299344,R-HSA-1299344,128516,R-HSA-1299344,TWIK-related spinal cord K+ channel (TRESK),Reactome,reactome,,,,['TWIK-related spinal cord K+ channel (TRESK)'],ok,
R-HSA-1299316,R-HSA-1299316,128517,R-HSA-1299316,TWIK-releated acid-sensitive K+ channel (TASK),Reactome,reactome,,,,['TWIK-releated acid-sensitive K+ channel (TASK)'],ok,
R-HSA-9033500,R-HSA-9033500,128518,R-HSA-9033500,TYSND1 cleaves peroxisomal proteins,Reactome,reactome,,,,['TYSND1 cleaves peroxisomal proteins'],ok,
R-HSA-380095,R-HSA-380095,128519,R-HSA-380095,Tachykinin receptors bind tachykinins,Reactome,reactome,,,,['Tachykinin receptors bind tachykinins'],ok,
R-HSA-1299308,R-HSA-1299308,128520,R-HSA-1299308,Tandem of pore domain in a weak inwardly rectifying K+ channels (TWIK),Reactome,reactome,,,,['Tandem of pore domain in a weak inwardly rectifying K+ channels (TWIK)'],ok,
R-HSA-1299287,R-HSA-1299287,128521,R-HSA-1299287,Tandem pore domain halothane-inhibited K+ channel (THIK),Reactome,reactome,,,,['Tandem pore domain halothane-inhibited K+ channel (THIK)'],ok,
R-HSA-1296346,R-HSA-1296346,128522,R-HSA-1296346,Tandem pore domain potassium channels,Reactome,reactome,,,,['Tandem pore domain potassium channels'],ok,
R-HSA-167243,R-HSA-167243,128523,R-HSA-167243,Tat-mediated HIV elongation arrest and recovery,Reactome,reactome,,,,['Tat-mediated HIV elongation arrest and recovery'],ok,
R-HSA-167246,R-HSA-167246,128524,R-HSA-167246,Tat-mediated elongation of the HIV-1 transcript,Reactome,reactome,,,,['Tat-mediated elongation of the HIV-1 transcript'],ok,
R-HSA-174417,R-HSA-174417,128525,R-HSA-174417,Telomere C-strand (Lagging Strand) Synthesis,Reactome,reactome,,,,['Telomere C-strand (Lagging Strand) Synthesis'],ok,
R-HSA-174430,R-HSA-174430,128526,R-HSA-174430,Telomere C-strand synthesis initiation,Reactome,reactome,,,,['Telomere C-strand synthesis initiation'],ok,
R-HSA-171319,R-HSA-171319,128527,R-HSA-171319,Telomere Extension By Telomerase,Reactome,reactome,,,,['Telomere Extension By Telomerase'],ok,
R-HSA-157579,R-HSA-157579,128528,R-HSA-157579,Telomere Maintenance,Reactome,reactome,,,,['Telomere Maintenance'],ok,
R-HSA-166665,R-HSA-166665,128529,R-HSA-166665,Terminal pathway of complement,Reactome,reactome,,,,['Terminal pathway of complement'],ok,
R-HSA-977068,R-HSA-977068,128530,R-HSA-977068,Termination of O-glycan biosynthesis,Reactome,reactome,,,,['Termination of O-glycan biosynthesis'],ok,
R-HSA-5656169,R-HSA-5656169,128531,R-HSA-5656169,Termination of translesion DNA synthesis,Reactome,reactome,,,,['Termination of translesion DNA synthesis'],ok,
R-HSA-1474151,R-HSA-1474151,128532,R-HSA-1474151,"Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation",Reactome,reactome,,,,"['Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation']",ok,
R-HSA-844615,R-HSA-844615,128533,R-HSA-844615,The AIM2 inflammasome,Reactome,reactome,,,,['The AIM2 inflammasome'],ok,
R-HSA-9931521,R-HSA-9931521,128534,R-HSA-9931521,The CRY:PER:kinase complex represses transactivation by the BMAL:CLOCK (ARNTL:CLOCK) complex,Reactome,reactome,,,,['The CRY:PER:kinase complex represses transactivation by the BMAL:CLOCK (ARNTL:CLOCK) complex'],ok,
R-HSA-844623,R-HSA-844623,128535,R-HSA-844623,The IPAF inflammasome,Reactome,reactome,,,,['The IPAF inflammasome'],ok,
