id,entity_id,hgnc_status,hgnc_id,entrez_id,ensembl_id,data_source_id,locus_group_id,locus_type_id
34251,34251,Approved,HGNC:15533,81848.0,ENSG00000187678,1,1,1
34252,34252,Approved,HGNC:53465,101926941.0,ENSG00000231185,1,2,2
34253,34253,Approved,HGNC:42394,100642175.0,,1,2,2
34254,34254,Approved,HGNC:25920,84926.0,ENSG00000167778,1,1,1
34255,34255,Approved,HGNC:27468,283377.0,ENSG00000176422,1,1,1
34256,34256,Approved,HGNC:14297,57213.0,ENSG00000123178,1,1,1
34257,34257,Approved,HGNC:52300,100130843.0,ENSG00000234404,1,3,3
34258,34258,Approved,HGNC:30628,80176.0,ENSG00000171621,1,1,1
34259,34259,Approved,HGNC:29522,84727.0,ENSG00000111671,1,1,1
34260,34260,Approved,HGNC:30629,90864.0,ENSG00000162032,1,1,1
34261,34261,Approved,HGNC:30630,92369.0,ENSG00000175093,1,1,1
34262,34262,Approved,HGNC:11272,6708.0,ENSG00000163554,1,1,1
34263,34263,Approved,HGNC:11273,6709.0,ENSG00000197694,1,1,1
34264,34264,Approved,HGNC:11274,6710.0,ENSG00000070182,1,1,1
34265,34265,Approved,HGNC:11275,6711.0,ENSG00000115306,1,1,1
34266,34266,Approved,HGNC:40562,105374640.0,ENSG00000228108,1,2,2
34267,34267,Approved,HGNC:40563,123706536.0,ENSG00000238018,1,2,2
34268,34268,Approved,HGNC:11276,6712.0,ENSG00000173898,1,1,1
34269,34269,Approved,HGNC:14896,57731.0,ENSG00000160460,1,1,1
34270,34270,Approved,HGNC:15680,51332.0,ENSG00000137877,1,1,1
34271,34271,Approved,HGNC:11277,10558.0,ENSG00000090054,1,1,1
34272,34272,Approved,HGNC:39668,100874511.0,ENSG00000230397,1,3,3
34273,34273,Approved,HGNC:39669,100874498.0,ENSG00000218512,1,3,3
34274,34274,Approved,HGNC:39670,100874499.0,ENSG00000219940,1,3,3
34275,34275,Approved,HGNC:39671,100874500.0,ENSG00000232678,1,3,3
34276,34276,Approved,HGNC:39672,100874512.0,ENSG00000227922,1,3,3
34277,34277,Approved,HGNC:11278,9517.0,ENSG00000100596,1,1,1
34278,34278,Approved,HGNC:16253,55304.0,ENSG00000172296,1,1,1
34279,34279,Approved,HGNC:20361,171546.0,ENSG00000165389,1,1,1
34280,34280,Approved,HGNC:24045,165679.0,ENSG00000196542,1,1,1
34281,34281,Approved,HGNC:26818,144108.0,ENSG00000179119,1,1,1
34282,34282,Approved,HGNC:28139,80763.0,ENSG00000134548,1,1,1
34283,34283,Approved,HGNC:30721,84654.0,ENSG00000164299,1,1,1
34284,34284,Approved,HGNC:11279,6713.0,ENSG00000104549,1,1,1
34285,34285,Approved,HGNC:55534,105375744.0,ENSG00000253513,1,2,2
34286,34286,Approved,HGNC:20390,58472.0,ENSG00000137767,1,1,1
34287,34287,Approved,HGNC:11280,8878.0,ENSG00000161011,1,1,1
